"Var1","Freq"
"HPD",1078388
"NYPD",506994
"DOT",435582
"DEP",291901
"DSNY",247877
"DOB",150495
"DPR",103251
"DOHMH",93288
"TLC",35608
"DCA",29613
"FDNY",11414
"DHS",4774
"DOF",4144
"DOE",2455
"EDC",2370
"DOITT",839
"DFTA",504
"3-1-1",503
