"pc.comp1","pc.comp2"
7335.80829202561,-25006.5037790721
27315.4093762836,-3957.15748518718
20807.4926530666,1680.08323457481
17427.8936697042,5133.10757305937
-18885.2713180675,5141.1098041569
20429.3791904914,-2304.10072370413
-31662.7005308647,1454.66045874997
18537.8094072068,4214.41942875372
2284.19167092281,15778.4667306146
-34759.9199371655,77.8497751761859
10020.9661487272,-9508.46006202628
21675.4409478951,-954.930640728783
5605.94044100054,-11193.455455028
-25307.4513484914,5631.7190048226
12469.5410568417,32024.1022978991
12319.186181859,-16867.9802835872
8522.96576513032,-21223.5315240736
-24423.4636862887,6212.5581287817
6048.85520932988,26058.9939152582
9840.65829086785,7086.25873907257
-26363.1965105976,3864.48442467226
-28594.8311120207,1738.38508457875
21434.3019502586,-5809.90479391066
4430.29109926209,-30852.9611175979
13210.6803996193,-24404.7674930611
-13335.9486684951,7637.45268812052
7983.21496108269,31203.6592734706
-28738.4134629237,6373.6783965932
-29465.2957032797,2104.59741342301
-9123.53198656338,-5618.15921108684
12107.796041141,12129.0727039599
-37008.760098386,-1901.25099902181
-41163.1079665469,-2095.36650160185
6460.93367748672,27379.8255059375
-36084.7337748371,-976.918589869837
20616.7518193013,17438.8171815068
7277.21389299399,-10311.9794614381
7907.72540503989,-32116.0444098177
-8401.26713970687,-8705.21868088438
11567.0820779916,20436.5523377178
19598.641211675,1592.73197316984
-30234.202860109,1532.4299497953
21254.064931147,3350.87826874915
15590.13423018,7785.43132000319
-12562.5828257863,-8188.88864408282
13072.1380659611,28368.7897647938
-2002.59674738503,5293.86623433657
18677.7060250438,-3705.34855860418
23319.813286522,-90.9815323966592
26067.457830414,-2340.03471028309
-9175.31288928643,-4953.26204862304
-11344.8031631115,-10859.074519802
8508.02588639439,-24706.6561372248
19128.5326885245,3706.03492268664
732.330569804626,-5989.81917458668
18630.7257590624,17525.3742829041
6440.2754099699,23522.6194862649
-23137.5325801599,-3006.14059734133
2633.04032267668,-12955.0459049476
25866.3556384925,-2360.80995799681
